Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",8/23/13,10486
Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,8/9/13,10485
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,8/2/13,10484
Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association",6/7/13,10483
1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,6/6/13,10482
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",5/31/13,10478
Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,5/14/13,10479
Sunrise Bank,Valdosta,GA,58185,Synovus Bank,5/10/13,10481
Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",5/10/13,10480
Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,4/26/13,10476
Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",4/26/13,10477
Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,4/19/13,10473
Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,4/19/13,10475
First Federal Bank,Lexington,KY,29594,Your Community Bank,4/19/13,10474
Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",4/5/13,10472
Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,3/8/13,10471
Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,2/15/13,10470
1st Regents Bank,Andover,MN,57157,First Minnesota Bank,1/18/13,10469
Westside Community Bank,University Place,WA,33997,Sunwest Bank,1/11/13,10468
Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,12/14/12,10467
Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association",11/16/12,10466
Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,11/2/12,10464
Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,11/2/12,10465
NOVA Bank,Berwyn,PA,27148,No Acquirer,10/26/12,10463
Excel Bank,Sedalia,MO,19189,Simmons First National Bank,10/19/12,10460
First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,10/19/12,10461
GulfSouth Private Bank,Destin,FL,58073,SmartBank,10/19/12,10462
First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",9/28/12,10459
Truman Bank,St. Louis,MO,27316,Simmons First National Bank,9/14/12,10458
First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,9/7/12,10457
Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,8/3/12,10456
Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,7/27/12,10455
Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,7/20/12,10453
Heartland Bank,Leawood,KS,1361,Metcalf Bank,7/20/12,10452
First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,7/20/12,10450
Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,7/20/12,10451
The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,7/20/12,10454
Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,7/13/12,10449
Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,7/6/12,10448
The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,6/15/12,10447
Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,6/15/12,10446
Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,6/15/12,10445
Waccamaw Bank,Whiteville,NC,34515,First Community Bank,6/8/12,10444
Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,6/8/12,10442
Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,6/8/12,10441
First Capital Bank,Kingfisher,OK,416,F & M Bank,6/8/12,10443
"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,5/18/12,10440
"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,5/4/12,10439
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,4/27/12,10437
Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,4/27/12,10438
